winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y,win_percentage_x,win_percentage_y,reach_advantage,total_fights_x,total_fights_y,finishing_rate_x,finishing_rate_y,age_x,age_y,age_difference
0,3,3,292,1,2,"November 02, 2019",92,835,"5' 7""",0.0,4.0,16.0,519,70.0,2.87,0.67,4.25,0.36,2,0.6,0.58,0.93,0.3,3,442,"5' 8""",1.0,1.0,11.0,431,73.0,2.31,0.64,5.28,0.46,1,0.0,0.0,0.85,0.0,3,0.8,0.8461538461538461,-3.0,20.0,13.0,0.2425,0.4061538461538462,30,28,2
1,7,3,164,1,0,"September 28, 2019",37,256,"5' 8""",0.0,0.0,12.0,406,71.0,0.47,0.83,3.58,0.5,1,1.2,4.67,0.0,0.57,2,618,"5' 10""",0.0,4.0,10.0,867,71.0,2.63,0.52,1.32,0.34,1,0.0,0.71,0.37,0.5,2,1.0,0.7142857142857143,0.0,12.0,14.0,0.3983333333333334,0.0942857142857142,24,25,-1
0,4,3,292,1,58,"November 16, 2019",126,612,"5' 5""",0.0,7.0,10.0,973,65.0,6.8,0.56,3.6,0.28,1,0.0,0.0,0.77,0.0,2,218,"5' 5""",0.0,1.0,7.0,1109,65.0,2.63,0.61,4.83,0.54,1,0.0,3.0,1.0,0.37,2,0.5882352941176471,0.875,0.0,17.0,8.0,0.2117647058823529,0.60375,31,25,6
1,7,3,173,1,0,"October 05, 2019",78,286,"5' 5""",0.0,2.0,14.0,566,69.0,2.29,0.45,2.64,0.5,1,0.5,0.0,0.63,0.0,2,663,"5' 4""",1.0,4.0,11.0,161,65.0,2.92,0.56,1.54,0.4,1,0.0,2.31,1.0,0.18,2,0.875,0.6875,4.0,16.0,16.0,0.19625,0.09625,27,29,-2
0,4,3,292,1,4,"October 18, 2019",23,466,"6' 7""",0.0,3.0,6.0,238,82.0,5.3,0.46,2.6,0.35,1,0.0,0.74,0.0,0.66,16,93,"6' 2""",1.0,5.0,17.0,1067,75.0,2.13,0.7,6.2,0.61,1,0.0,0.0,0.0,0.0,22,0.6666666666666666,0.7391304347826086,7.0,9.0,23.0,0.2888888888888889,0.2695652173913043,29,28,1
1,4,3,292,1,60,"October 12, 2019",138,927,"5' 5""",0.0,3.0,8.0,402,67.0,4.11,0.61,3.88,0.4,2,0.0,0.36,0.53,0.25,1,840,"5' 5""",0.0,3.0,5.0,682,67.0,3.77,0.58,4.08,0.41,1,0.0,0.7,0.71,0.5,1,0.7272727272727273,0.625,0.0,11.0,8.0,0.3527272727272727,0.51,27,27,0
1,4,3,292,1,4,"October 26, 2019",64,558,"6' 3""",0.0,1.0,10.0,800,78.0,2.55,0.5,2.4,0.25,1,0.0,0.0,1.0,0.0,24,766,"6' 2""",0.0,3.0,10.0,511,77.0,3.77,0.61,4.34,0.51,1,0.0,0.78,0.75,0.5,19,0.9090909090909092,0.7692307692307693,1.0,11.0,13.0,0.2181818181818181,0.3338461538461538,30,31,-1
1,5,3,102,1,2,"May 18, 2019",113,835,"5' 7""",0.0,4.0,16.0,519,70.0,2.87,0.67,4.25,0.36,2,0.6,0.58,0.93,0.3,3,531,"6' 1""",0.0,9.0,22.0,614,74.0,5.04,0.5,4.18,0.45,2,0.8,0.83,0.58,0.6,3,0.8,0.7096774193548387,-4.0,20.0,31.0,0.2425,0.1606451612903225,29,29,0
1,4,3,292,1,60,"June 08, 2019",32,232,"5' 9""",0.0,2.0,13.0,545,68.0,4.58,0.64,4.35,0.32,1,0.1,0.0,0.56,0.0,1,257,"5' 6""",0.0,4.0,14.0,540,65.0,4.31,0.53,6.19,0.47,1,0.5,1.85,0.55,0.56,1,0.8666666666666667,0.7777777777777778,3.0,15.0,18.0,0.2966666666666666,0.3716666666666667,30,33,-3
1,5,2,135,1,6,"June 01, 2019",135,545,"6' 3""",0.0,2.0,16.0,472,77.0,3.44,0.54,2.55,0.33,1,0.0,0.0,0.0,0.0,4,496,"6' 0""",0.0,5.0,12.0,279,74.0,4.79,0.41,1.52,0.61,2,0.0,3.5,0.5,1.0,4,0.8888888888888888,0.7058823529411765,3.0,18.0,17.0,0.1416666666666666,0.0894117647058823,25,24,1
1,4,3,292,1,7,"June 22, 2019",56,493,"5' 6""",0.0,1.0,6.0,262,70.0,5.5,0.51,6.6,0.47,1,0.0,3.0,0.0,0.33,6,1068,"6' 1""",0.0,6.0,12.0,363,73.0,5.72,0.55,3.71,0.45,1,1.0,1.31,0.75,0.2,6,0.8571428571428571,0.6666666666666666,-3.0,7.0,18.0,0.9428571428571428,0.2616666666666666,30,32,-2
